municipios_id_municipio,municipios_descripcion_municipio,municipios_descripcion_municipio_texto_libre
1,Alegría-Dulantz,
2,Amurrio,
3,Añana,
4,Aramaio,
5,Armiñón,
6,Arraia-Maeztu,
7,Arrazua-Ubarrundia,
8,Artziniega,
9,Asparrena,
10,Ayala/Aiara,
11,Baños de Ebro/Mañueta,
12,Barrundia,
13,Berantevilla,
14,Bernedo,
15,Campezo/Kanpezu,
16,Elburgo/Burgelu,
17,Elciego,
18,Elvillar/Bilar,
19,Erriberagoitia/Ribera Alta,
20,Harana/Valle de Arana,
21,Iruña Oka/Iruña de Oca,
22,Iruraiz-Gauna,
23,Kripan,
24,Kuartango,
25,Labastida/Bastida,
26,Lagrán,
27,Laguardia,
28,Lanciego/Lantziego,
29,Lantaró,
30,Lapuebla de Labarca,
31,Laudio/Llodio,
32,Legutio,
33,Leza,
34,Moreda de Álava,
35,Navaridas,
36,Okondo,
37,Oyón-Oion,
38,Peñacerrada-Urizaharra,
39,Ribera Baja/Erribera Beitia,
40,Salvatierra/Agurain,
41,Samaniego,
42,San Millán/Donemiliaga,
43,Urkabustaiz,
44,Valdegovía/Gaubea,
45,Villabuena de Álava/Eskuernaga,
46,Vitoria-Gasteiz,
47,Yécora/Iekora,
48,Zalduondo,
49,Zambrana,
50,Zigoitia,
51,Zuia,
52,Abaltzisketa,
53,Aduna,
54,Aia,
55,Aizarnazabal,
56,Albiztur,
57,Alegia,
58,Alkiza,
59,Altzaga,
60,Altzo,
61,Amezketa,
62,Andoain,
63,Anoeta,
64,Antzuola,
65,Arama,
66,Aretxabaleta,
67,Arrasate/Mondragón,
68,Asteasu,
69,Astigarraga,
70,Ataun,
71,Azkoitia,
72,Azpeitia,
73,Baliarrain,
74,Beasain,
75,Beizama,
76,Belauntza,
77,Berastegi,
78,Bergara,
79,Berrobi,
80,Bidegoian,
81,Deba,
82,Donostia-San Sebastián,
83,Eibar,
84,Elduain,
85,Elgeta,
86,Elgoibar,
87,Errenteria,
88,Errezil,
89,Eskoriatza,
90,Ezkio-Itsaso,
91,Gabiria,
92,Gaintza,
93,Gaztelu,
94,Getaria,
95,Hernani,
96,Hernialde,
97,Hondarribia,
98,Ibarra,
99,Idiazabal,
100,Ikaztegieta,
101,Irun,
102,Irura,
103,Itsasondo,
104,Larraul,
105,Lasarte-Oria,
106,Lazkao,
107,Leaburu,
108,Legazpi,
109,Legorreta,
110,Leintz-Gatzaga,
111,Lezo,
112,Lizartza,
113,Mendaro,
114,Mutiloa,
115,Mutriku,
116,Oiartzun,
117,Olaberria,
118,Oñati,
119,Ordizia,
120,Orendain,
121,Orexa,
122,Orio,
123,Ormaiztegi,
124,Pasaia,
125,Segura,
126,Soraluze/Placencia de las Armas,
127,Tolosa,
128,Urnieta,
129,Urretxu,
130,Usurbil,
131,Villabona,
132,Zaldibia,
133,Zarautz,
134,Zegama,
135,Zerain,
136,Zestoa,
137,Zizurkil,
138,Zumaia,
139,Zumarraga,
140,Ábalos,
141,Agoncillo,
142,Aguilar del Río Alhama,
143,Ajamil de Cameros,
144,Albelda de Iregua,
145,Alberite,
146,Alcanadre,
147,Aldeanueva de Ebro,
148,Alesanco,
149,Alesón,
150,Alfaro,
151,Almarza de Cameros,
152,Anguciana,
153,Anguiano,
154,Arenzana de Abajo,
155,Arenzana de Arriba,
156,Arnedillo,
157,Arnedo,
158,Arrúbal,
159,Ausejo,
160,Autol,
161,Azofra,
162,Badarán,
163,Bañares,
164,Baños de Río Tobía,
165,Baños de Rioja,
166,Berceo,
167,Bergasa,
168,Bergasillas Bajera,
169,Bezares,
170,Bobadilla,
171,Brieva de Cameros,
172,Briñas,
173,Briones,
174,Cabezón de Camero,
175,Calahorra,
176,Camprovín,
177,Canales de la Sierra,
178,Canillas de Río Tuert,
179,Cañas,
180,Cárdenas,
181,Casalarreina,
